op_side,op_type,op_name,op_full_name,op_occurrences,op_total_time(us),op_avg_time(us),total_proportion,cuda_activity_cost_time(us),cuda_activity_call_count
Device,Custom,Custom-op18,Default/Custom-op18,14,3441.86,245.847,0.058678,250.015,70
Device,Custom,Custom-op16,Default/Custom-op16,15,1166.78,77.7856,0.0198917,94.913,47
Device,Equal,Equal-op15,Default/Equal-op15,15,483.264,32.2176,0.00823885,104.705,92
Device,FillV2,FillV2-op13,Default/FillV2-op13,15,352.064,23.4709,0.00600211,44.032,21
Device,Custom,Custom-op14,Default/Custom-op14,15,8264.74,550.982,0.1409,2558.9,120
Device,MatMul,MatMul-op0,Default/MatMul-op0,1,304,304,0.0051827,9.792,2
Device,MatMul,MatMul-op1,Default/MatMul-op1,14,716.672,51.1909,0.0122181,122.173,30
Device,FillV2,FillV2-op3,Default/FillV2-op3,30,560.128,18.6709,0.00954926,155.231,40
Device,FillV2,FillV2-op7,Default/FillV2-op7,15,315.744,21.0496,0.00538291,47.616,30
Device,Custom,Custom-op12,Default/Custom-op12,15,1092.26,72.8171,0.0186212,117.338,61
Device,Reshape,Reshape-op17,Default/Reshape-op17,15,374.752,24.9835,0.0063889,47.007,29
Device,Custom,Custom-op4,Default/Custom-op4,1,26611,26611,0.453674,21.249,6
Device,FillV2,FillV2-op5,Default/FillV2-op5,60,1186.62,19.7771,0.02023,191.421,82
Device,FillV2,FillV2-op2,Default/FillV2-op2,15,7275.07,485.005,0.124028,47.997,31
Device,Custom,Custom-op11,Default/Custom-op11,15,1139.52,75.968,0.0194269,113.119,60
Device,Custom,Custom-op6,Default/Custom-op6,15,1808.06,120.538,0.0308245,184.99,76
Device,Custom,Custom-op8,Default/Custom-op8,15,1542.72,102.848,0.0263008,256.669,76
Device,FillV2,FillV2-op9,Default/FillV2-op9,30,539.136,17.9712,0.00919138,94.556,48
Device,Custom,Custom-op10,Default/Custom-op10,15,1482.3,98.8203,0.0252708,180.442,75
